Arkansas|Lonoke|M|27.5|38.6
Arkansas|Madison|M|28.4|36.9
Arkansas|Marion|M|28.8|37.2
Arkansas|Miller|M|31.8|39.3
Arkansas|Mississippi|M|33.4|40.0
Arkansas|Monroe|M|34.0|40.6
Arkansas|Montgomery|M|30.3|37.6
Arkansas|Nevada|M|30.6|41.7
Arkansas|Newton|M|30.2|36.8
Arkansas|Ouachita|M|31.9|38.5
Arkansas|Perry|M|30.6|37.8
Arkansas|Phillips|M|34.7|39.1
Arkansas|Pike|M|30.1|39.4
Arkansas|Poinsett|M|31.3|41.1
Arkansas|Polk|M|29.7|37.3
Arkansas|Pope|M|30.2|36.0
Arkansas|Prairie|M|29.9|39.5
Arkansas|Pulaski|M|25.3|33.1
Arkansas|Randolph|M|31.2|40.7
Arkansas|Saline|M|28.1|33.9
Arkansas|Scott|M|31.8|36.1
Arkansas|Searcy|M|30.7|37.5
Arkansas|Sebastian|M|29.0|32.2
Arkansas|Sevier|M|30.2|39.6
Arkansas|Sharp|M|28.8|38.7
Arkansas|St. Francis|M|32.5|39.5
Arkansas|Stone|M|30.7|35.7
Arkansas|Union|M|29.3|34.5
Arkansas|Van Buren|M|30.5|35.2
Arkansas|Washington|M|23.8|33.2
Arkansas|White|M|28.4|36.7
Arkansas|Woodruff|M|32.9|40.8
Arkansas|Yell|M|32.2|38.8
California|Alameda|M|21.0|23.3
California|Alpine|M|26.0|31.0
California|Amador|M|25.6|32.9
California|Butte|M|26.2|30.7
California|Calaveras|M|26.5|33.3
California|Colusa|M|29.0|36.2
California|Contra Costa|M|23.3|31.0
California|Del Norte|M|26.8|35.9
California|El Dorado|M|22.6|26.2
California|Fresno|M|27.8|37.3
California|Glenn|M|28.9|34.7
California|Humboldt|M|25.2|30.8
California|Imperial|M|28.9|36.1
California|Inyo|M|27.1|33.4
California|Kern|M|29.1|36.0
California|Kings|M|30.1|36.4
California|Lake|M|28.7|32.2
California|Lassen|M|26.4|33.6
California|Los Angeles|M|24.0|26.6
California|Madera|M|28.8|38.2
California|Marin|M|20.3|22.1
California|Mariposa|M|26.7|35.0
California|Mendocino|M|26.3|30.3
California|Merced|M|28.9|40.8
California|Modoc|M|28.9|33.4
